Publication Type,Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,k,t,survey,,,
J,"Pidgeon, NF; Lorenzoni, I; Poortinga, W",Climate change or nuclear power - No thanks! A quantitative study of public perceptions and risk framing in Britain,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,,,English,Article,,,,,,nuclear power; climate change; British public risk perceptions; framing; energy policy,UNITED-STATES; UK; POLICY,"The UK is witnessing a new line in political debate around new nuclear energy generation as one potential feature of future energy policy, specifically for contributing to climate change mitigation alongside energy security. Little is known about how ordinary citizens might be responding to this refraining. This paper reports the results from a major British survey (n = 1491) undertaken in the autumn of 2005. The consistent message is that while higher proportions of the British public are prepared to accept nuclear power if they believe it contributes to climate change mitigation, this is a highly conditional view, with very few actively preferring this over renewable sources given the choice. People see both climate change and nuclear power as problematic in terms of risks and express only a 'reluctant acceptance' of nuclear power as a 'solution' to climate change. The combined data from this survey can also be interpreted as an indication of the complexity surrounding beliefs about energy futures and the difficulty of undertaking simplistic risk-risk tradeoffs within any single framing of the issues; such as nuclear energy versus climate change. The results also indicate that it would be unwise, in the UK as elsewhere, to simplistically assume that there exists any single or stable public 'opinion' on such complex matters. We conclude with a discussion of the role and implications of the survey evidence for the policy process. (C) 2007 Elsevier Ltd. All rights reserved.","[Pidgeon, Nick F.] Cardiff Univ, Sch Psychol, Cardiff CF10 3AT, Wales; [Lorenzoni, Irene] Univ E Anglia, Sch Environm Sci, Norwich NR4 7TJ, Norfolk, England; [Lorenzoni, Irene] Univ E Anglia, Tyndall Ctr Climate Change Res, Norwich NR4 7TJ, Norfolk, England; [Poortinga, Wouter] Cardiff Univ, Welsh Sch Architecture, Cardiff CF10 3NB, Wales",Cardiff University; University of East Anglia; University of East Anglia; Cardiff University,"Pidgeon, NF (corresponding author), Cardiff Univ, Sch Psychol, Tower Bldg,Pk Pl, Cardiff CF10 3AT, Wales.",PidgeonN@Cardiff.ac.uk,"Poortinga, Wouter/A-1802-2010","Poortinga, Wouter/0000-0002-6926-8545","NERC [tynd10001] Funding Source: UKRI; Economic and Social Research Council [RES-152-25-1011, RES-336-25-0001] Funding Source: researchfish; Natural Environment Research Council [tynd10001] Funding Source: researchfish",NERC(UK Research & Innovation (UKRI)Natural Environment Research Council (NERC)); Economic and Social Research Council(UK Research & Innovation (UKRI)Economic & Social Research Council (ESRC)); Natural Environment Research Council(UK Research & Innovation (UKRI)Natural Environment Research Council (NERC)),,,80,258,287,4,190,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0959-3780,1872-9495,,GLOBAL ENVIRON CHANG,Glob. Environ. Change-Human Policy Dimens.,FEB,2008,18,1,,,,,69,85,,10.1016/j.gloenvcha.2007.09.005,http://dx.doi.org/10.1016/j.gloenvcha.2007.09.005,,,17,Environmental Sciences; Environmental Studies; Geography,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Geography,279SO,,,,,2024-06-14,WOS:000254375100009,View Full Record in Web of Science,1,1,UK Ipsos-MORI,,,
J,"Firestone, J; Kempton, W",Public opinion about large offshore wind power: Underlying factors,ENERGY POLICY,,,English,Article,,,,,,wind power; public opinion; climate change,,"This paper address factors underlying public opinion regarding offshore wind power based on a survey of residents near a proposed development off Cape Cod, MA, USA. Supporters are found to be younger, better educated, and more likely to own their own home. Opponents are more likely to earn over $200,000/year, and more likely to expect to see the project from their daily routine. The overwhelming majority of the population expects negative impacts from the project; much smaller numbers expect positive effects. When asked which factors most affected their position, the most frequently mentioned was damage to marine life/environmental impacts, followed by electricity rates, aesthetics, and impacts on fishing or boating. When the expectations expressed by our respondents are compared with the findings of the project's draft Environmental Impact Statement, many of the beliefs upon which opinion are based appear to be factually incorrect. Finally, we tested whether change in the project would affect support. The biggest change was an increase in the level of support, by 47% of the sample, if the project was the first of 300 such projects, in sum having proportionately larger impacts as well as greater benefits. Implications of this research are discussed. (c) 2006 Elsevier Ltd. All rights reserved.","Univ Delaware, Coll Marine & Earth Studies, Newark, DE 19716 USA",University of Delaware,"Firestone, J (corresponding author), Univ Delaware, Coll Marine & Earth Studies, Newark, DE 19716 USA.",jf@udel.edu,"Firestone, Jeremy/O-8281-2017; Kempton, Willett M/H-5176-2012","Kempton, Willett M/0000-0002-7284-8954; Firestone, Jeremy/0000-0003-4625-4092",,,,,31,247,288,4,74,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0301-4215,1873-6777,,ENERG POLICY,Energy Policy,MAR,2007,35,3,,,,,1584,1598,,10.1016/j.enpol.2006.04.010,http://dx.doi.org/10.1016/j.enpol.2006.04.010,,,15,Economics; Energy & Fuels; Environmental Sciences; Environmental Studies,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Business & Economics; Energy & Fuels; Environmental Sciences & Ecology,145ET,,,,,2024-06-14,WOS:000244848800016,View Full Record in Web of Science,0,0,offshore wind,,,
J,"Nisbet, MC; Myers, T",The polls - Trends - Twenty years of public opinion about global warming,PUBLIC OPINION QUARTERLY,,,English,Article,,,,,,,CLIMATE-CHANGE,"Over the past 20 years, there have been dozens of news organization, academic, and nonpartisan public opinion surveys on global warming, yet there exists no authoritative summary of their collective findings. In this article, we provide a systematic review of trends in public opinion about global warming. We sifted through hundreds of polling questions culled from more than 70 surveys administered over the past 20 years. In compiling the available trends, we summarize public opinion across several key dimensions including (a) public awareness of the issue of global warming; (b) public understanding of the causes of global warming and the specifics of the policy debate; (c) public perceptions of the certainty of the science and the level of agreement among experts; (d) public concern about the impacts of global warming; (e) public support for policy action in light of potential economic costs; and (f) public support for the Kyoto climate treaty.","American Univ, Sch Commun, Washington, DC 20016 USA; Ohio State Univ, Sch Commun, Columbus, OH 43210 USA",American University; University System of Ohio; Ohio State University,"Nisbet, MC (corresponding author), American Univ, Sch Commun, Washington, DC 20016 USA.",nisbetmc@gmail.com,"Nisbet, Matthew C./E-4245-2010; Nisbet, Matthew C/AAG-7562-2019","Nisbet, Matthew C./0000-0002-6765-1364; Myers, Teresa/0000-0003-1712-1290",,,,,6,246,330,6,116,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0033-362X,,,PUBLIC OPIN QUART,Public Opin. Q.,FAL,2007,71,3,,,,,444,470,,10.1093/poq/nfm031,http://dx.doi.org/10.1093/poq/nfm031,,,27,"Communication; Political Science; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Communication; Government & Law; Social Sciences - Other Topics,215QF,,,,,2024-06-14,WOS:000249823400006,View Full Record in Web of Science,1,19,Gallup; OSU; ABC; PIPA; Harris; Cambridge,,,
J,"Sampei, Y; Aoyagi-Usui, M","Mass-media coverage, its influence on public awareness of climate-change issues, and implications for Japan's national campaign to reduce greenhouse gas emissions",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,,,English,Article,,,,,,Climate change; Cross-correlation analysis; Global warming; Newspaper coverage; Public opinion,UNITED-STATES; NEWSPAPER COVERAGE; RISK; PERCEPTIONS; US; COMMUNICATION; TOMORROW; STORIES; SCIENCE; NEWS,"We analyse Japanese newspaper coverage of global warming from January 1998 to July 2007 and how public opinion during parts of that period were influenced by newspaper coverage. We show that a dramatic increase in newspaper coverage of global warming from January 2007 correlated with an increase in public concern for the issue. Before January 2007, we find that coverage of global warming had an immediate but short-term influence on public concern. With such transitory high levels of media coverage we suggest that for more effective communication of climate change, strategies aimed at maintaining mass-media coverage of global warming are required. (C) 2008 Elsevier Ltd. All rights reserved.","[Sampei, Yuki; Aoyagi-Usui, Midori] Natl Inst Environm Studies, Social & Environm Syst Div, Tsukuba, Ibaraki 3058506, Japan",National Institute for Environmental Studies - Japan,"Sampei, Y (corresponding author), Natl Inst Environm Studies, Social & Environm Syst Div, 16-2 Onogawa, Tsukuba, Ibaraki 3058506, Japan.",yuki_sampei@07.alumni.u-tokyo.ac.jp; aoyagi@nies.go.jp,"Aoyagi, Midori/GYJ-4939-2022",,"RI STX of JST; Ministry of the Environment Japan [H-052, S-5-1]","RI STX of JST; Ministry of the Environment Japan(Ministry of the Environment, Japan)","This research has been supported by RI STX of JST (Japan Science and Technology Agency) and by Global Environment Research Fund of Ministry of the Environment Japan (H-052 and S-5-1). Special appreciation is due to staff of the management secretariat of'Team Minus 6%' and the lifestyle policy office of Ministry of the Environment Japan. We also wish to thank Dr. Umino (Tohoku University), Dr. Matsuda (Shukutoku University) and Dr. Nishio (University of Tsukuba) for their helpful suggestions and comments.",,48,241,277,3,84,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0959-3780,1872-9495,,GLOBAL ENVIRON CHANG,Glob. Environ. Change-Human Policy Dimens.,MAY,2009,19,2,,,SI,,203,212,,10.1016/j.gloenvcha.2008.10.005,http://dx.doi.org/10.1016/j.gloenvcha.2008.10.005,,,10,Environmental Sciences; Environmental Studies; Geography,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Geography,452KN,,,,,2024-06-14,WOS:000266539000009,View Full Record in Web of Science,1,3,custom,,,
J,"Leiserowitz, AA; Maibach, EW; Roser-Renouf, C; Smith, N; Dawson, E","Climategate, Public Opinion, and the Loss of Trust",AMERICAN BEHAVIORAL SCIENTIST,,,English,Article,,,,,,climategate; trust; public opinion; climate change; risk perception,CHANGE RISK PERCEPTION; MOTIVATED SKEPTICISM; INFORMATION; PREFERENCES; POLICY; US,"Nationally representative surveys conducted in 2008 and 2010 found significant declines in Americans' climate change beliefs, risk perceptions, and trust in scientists. Drawing upon the Social Amplification of Risk Framework, this analysis empirically examines the impact of climategatean international scandal resulting from the unauthorized release of emails between climate scientists in England and United States. The results demonstrate that climategate had a significant effect on public beliefs in global warming and trust in scientists. The loss of trust in scientists, however, was primarily among individuals with a strongly individualistic worldview or politically conservative ideology. Nonetheless, Americans overall continued to trust scientists more than other sources of information about global warming. Several other explanations for the declines in public understanding are also explored, including the poor state of the economy, a new administration and Congress, diminishing media attention, and abnormal winter weather.","[Leiserowitz, Anthony A.; Smith, Nicholas] Yale Univ, Yale Project Climate Change Commun, Sch Forestry & Environm Studies, New Haven, CT 06511 USA; [Dawson, Erica] Yale Univ, New Haven, CT 06511 USA; [Maibach, Edward W.; Roser-Renouf, Connie] George Mason Univ, Ctr Climate Change Commun, Fairfax, VA 22030 USA",Yale University; Yale University; George Mason University,"Leiserowitz, AA (corresponding author), Yale Univ, Sch Forestry & Environm Studies, New Haven, CT 06511 USA.",anthony.leiserowitz@yale.edu,"Leiserowitz, Anthony/HGB-4208-2022; Leiserowitz, Anthony/ABE-6529-2020; Maibach, Edward/A-7102-2009","Leiserowitz, Anthony/0000-0001-5349-409X; Leiserowitz, Anthony/0000-0001-5349-409X; Maibach, Edward/0000-0003-3409-9187",,,,,55,223,267,5,142,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",0002-7642,,,AM BEHAV SCI,Am. Behav. Sci.,JUN,2013,57,6,,,SI,,818,837,,10.1177/0002764212458272,http://dx.doi.org/10.1177/0002764212458272,,,20,"Psychology, Clinical; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Psychology; Social Sciences - Other Topics,201BC,,,,,2024-06-14,WOS:000323114700007,View Full Record in Web of Science,1,2,custom,,,
J,"Carmichael, JT; Brulle, RJ","Elite cues, media coverage, and public concern: an integrated path analysis of public opinion on climate change, 2001-2013",ENVIRONMENTAL POLITICS,,,English,Article,,,,,,US public opinion; climate change; elite cues; media effects; time-series analysis; structural equation models,MOVEMENT ORGANIZATIONS; DAILY TEMPERATURE; RISK PERCEPTIONS; UNITED-STATES; POLICY; US; ATTENTION; WEATHER; BELIEF; NEWS,"To analyze the factors affecting US public concern about the threat of climate change between January 2002 and December 2013, data from 74 separate surveys are used to construct quarterly measures of public concern over global climate change. Five factors should account for changes in levels of concern: extreme weather events, public access to accurate scientific information, media coverage, elite cues, and movement/countermovement advocacy. Structural equation modeling indicates that elite cues, movement advocacy efforts, weather, and structural economic factors influence the level of public concern about climate change. While media coverage exerts an important influence, it is itself largely a function of elite cues and economic factors. Promulgation to the public of scientific information on climate change has no effect. Information-based science advocacy has had only a minor effect on public concern, while political mobilization by elites and advocacy groups is critical in influencing climate change concern.","[Carmichael, Jason T.] McGill Univ, Dept Sociol, Montreal, PQ, Canada; [Brulle, Robert J.] Drexel Univ, Dept Sociol, Philadelphia, PA 19104 USA",McGill University; Drexel University,"Carmichael, JT (corresponding author), McGill Univ, Dept Sociol, Montreal, PQ, Canada.",jason.carmichael@mcgill.ca,,,Energy Foundation [21037],Energy Foundation,This work was supported in part by the Energy Foundation 21037.,,76,212,233,15,161,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0964-4016,1743-8934,,ENVIRON POLIT,Environ. Polit.,,2017,26,2,,,,,232,252,,10.1080/09644016.2016.1263433,http://dx.doi.org/10.1080/09644016.2016.1263433,,,21,Environmental Studies; Political Science,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Government & Law,EQ4JF,,,Y,N,2024-06-14,WOS:000398041900003,View Full Record in Web of Science,1,13,Gallup; others (wcalc),,,
J,"McCright, AM; Xiao, CY; Dunlap, RE","Political polarization on support for government spending on environmental protection in the USA, 1974-2012",SOCIAL SCIENCE RESEARCH,,,English,Article,,,,,,Environmental concern; Political polarization; US General Social Survey; Public opinion; Ordered logistic regression,CLIMATE-CHANGE; PARTY POLARIZATION; ATTITUDES; PARTISANSHIP; SCIENCE; ISSUES,"Since the early 19905, the American conservative movement has become increasingly hostile toward environmental protection and Congressional Republicans have become increasingly anti-environmental in their voting records. Party sorting theory holds that such political polarization among elites will likely extend to the general public. Analyzing General Social Survey data from 1974 to 2012. we examine whether political polarization has occurred on support for government spending on environmental protection over this time period in the US general public. We find that there has been significant partisan and ideological polarization on support for environmental spending since 1992 consistent with the expectations of party sorting theory. This political polarization on environmental concern in the general public will likely endure save for political convergence on environmental concern among elites in the near future. Such polarization likely will inhibit the further development and implementation of environmental policy and the diffusion of environmentally friendly behaviors. (C) 2014 Elsevier Inc. All rights reserved.","[McCright, Aaron M.] Michigan State Univ, Lyman Briggs Coll, E Lansing, MI 48825 USA; [McCright, Aaron M.] Michigan State Univ, Dept Sociol, E Lansing, MI 48825 USA; [Xiao, Chenyang] Amer Univ, Dept Sociol, Washington, DC 20016 USA; [Dunlap, Riley E.] Oklahoma State Univ, Dept Sociol, Stillwater, OK 74078 USA",Michigan State University; Michigan State University; American University; Oklahoma State University System; Oklahoma State University - Stillwater,"McCright, AM (corresponding author), Michigan State Univ, Lyman Briggs Coll, 919 East Shaw Lane,E-35 Holmes Hall, E Lansing, MI 48825 USA.",mccright@msu.edu; xiao@american.edu; riley.dunlap@okstate.edu,"McCright, Aaron Matthew/Z-1967-2019; Xiao, Chenyang/J-9033-2019; Dunlap, Riley E./Z-1676-2019","Xiao, Chenyang/0000-0002-5946-0584; Dunlap, Riley E./0000-0002-7047-3757",,,,,47,203,234,7,157,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",0049-089X,1096-0317,,SOC SCI RES,Soc. Sci. Res.,NOV,2014,48,,,,,,251,260,,10.1016/j.ssresearch.2014.06.008,http://dx.doi.org/10.1016/j.ssresearch.2014.06.008,,,10,Sociology,Social Science Citation Index (SSCI),Sociology,AO1JR,25131288,,Y,N,2024-06-14,WOS:000341068900018,View Full Record in Web of Science,0,0,"U.S. GSS (1 k, 27 t on ""environment"" not cc)",,,
S,"Egan, PJ; Mullin, M",Climate Change: US Public Opinion,"ANNUAL REVIEW OF POLITICAL SCIENCE, VOL 20",Annual Review of Political Science,,English,Article; Book Chapter,,,,,,global warming; attitudes; environment; polarization,PARTY POLARIZATION; COLLECTIVE ACTION; RISK PERCEPTIONS; LOCAL WEATHER; UNITED-STATES; IMPACT; SUPPORT; SCIENCE; BELIEF; COMMUNICATION,"A review of research findings and polling data about Americans' attitudes on climate change reveals a lack of meaningful long-term change in mass opinion. Instead, the structure of Americans' attitudes toward belief in climate change's existence, concern about its consequences, and demand for policy response is similar to that regarding many other issues in contemporary US politics: stability in aggregate opinion that masks partisan and ideological polarization enhanced by communications from elites. But features of the climate change problem elicit some distinctive determinants of opinion, including individuals' trust in science, risk processing, and personal experience. Although our review of the literature and data leaves us skeptical that majority opinion will spur elected officials anytime soon to undertake the costly solutions necessary to tackle this problem comprehensively at the national level, we identify several avenues by which attitudes might promote less substantial but nevertheless consequential policy action.","[Egan, Patrick J.] NYU, Wilf Family Dept Polit, 550 1st Ave, New York, NY 10003 USA; [Mullin, Megan] Duke Univ, Nicholas Sch Environm, Durham, NC 27708 USA",New York University; Duke University,"Egan, PJ (corresponding author), NYU, Wilf Family Dept Polit, 550 1st Ave, New York, NY 10003 USA.",patrick.egan@nyu.edu; megan.mullin@duke.edu,,"Mullin, Megan/0000-0002-1936-802X",,,,,89,201,237,12,118,ANNUAL REVIEWS,PALO ALTO,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, CA 94303-0897 USA",1094-2939,1545-1577,,ANNU REV POLIT SCI,Annu. Rev. Polit. Sci.,,2017,20,,,,,,209,227,,10.1146/annurev-polisci-051215-022857,http://dx.doi.org/10.1146/annurev-polisci-051215-022857,,,19,Political Science,Book Citation Index – Social Sciences & Humanities (BKCI-SSH); Social Science Citation Index (SSCI),Government & Law,BH5PD,,,Y,N,2024-06-14,WOS:000401334000012,View Full Record in Web of Science,0,0,review article,,,
J,"McCright, AM; Marquart-Pyatt, ST; Shwom, RL; Brechin, SR; Allen, S","Ideology, capitalism, and climate: Explaining public views about climate change in the United States",ENERGY RESEARCH & SOCIAL SCIENCE,,,English,Review,,,,,,Climate change; Public opinion; Anti-reflexivity; Political ideology,PERCEIVED SCIENTIFIC AGREEMENT; POLITICAL POLARIZATION; PERSONAL-EXPERIENCE; GOVERNMENT ACTION; ANTI-REFLEXIVITY; RISK PERCEPTION; LOCAL WEATHER; SUPPORT; POLICY; SKEPTICISM,"Over the last three decades, climate change has become publicly defined as an important social problem deserving action. A substantial body of social science research examines the patterns of climate change views in the general publics of countries around the world. In this review essay, we identify the strongest and most consistent predictors of key dimensions of climate change views within many countries, and we also discuss the prevailing theoretical explanations of these specific effects. Since the US has yet to adopt comprehensive climate change mitigation policy and has historically played an obstructionist role in international climate negotiations, we further explain the political dynamics of US climate change views that help characterize the US's outlier status among industrial capitalist democracies. We then present an integrative theoretical framework-based upon an extension of the anti-reflexivity thesis-that explains why the strength and consistency of predictors relate to how closely those predictors distinguish ideological and material positions defending the industrial capitalist system from those positions accepting that it should be reformed or restructured. We end with a brief discussion of promising avenues through which future research may address key gaps in our understanding of climate change views. (C) 2016 Elsevier Ltd. All rights reserved.","[McCright, Aaron M.] Michigan State Univ, Dept Sociol, Lyman Briggs Coll, 919 East Shaw Lane,Room E-35, E Lansing, MI 48825 USA; [McCright, Aaron M.] Michigan State Univ, Environm Sci & Policy Program, 919 East Shaw Lane,Room E-35, E Lansing, MI 48825 USA; [Marquart-Pyatt, Sandra T.; Allen, Summer] Michigan State Univ, Dept Sociol, 509 East Circle Dr,Room 316, E Lansing, MI 48824 USA; [Marquart-Pyatt, Sandra T.] Michigan State Univ, Environm Sci & Policy Program, 509 East Circle Dr,Room 316, E Lansing, MI 48824 USA; [Shwom, Rachael L.] Rutgers State Univ, Dept Human Ecol, 55 Dudley Rd, New Brunswick, NJ 08901 USA; [Brechin, Steven R.] Rutgers State Univ, Dept Sociol, 26 Nichol Ave, New Brunswick, NJ 08901 USA",Michigan State University; Michigan State University; Michigan State University; Michigan State University; Rutgers University System; Rutgers University New Brunswick; Rutgers University System; Rutgers University New Brunswick,"McCright, AM (corresponding author), Michigan State Univ, Dept Sociol, Lyman Briggs Coll, 919 East Shaw Lane,Room E-35, E Lansing, MI 48825 USA.;McCright, AM (corresponding author), Michigan State Univ, Environm Sci & Policy Program, 919 East Shaw Lane,Room E-35, E Lansing, MI 48825 USA.",mccright@msu.edu,"McCright, Aaron Matthew/Z-1967-2019",,,,,,102,192,216,13,134,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",2214-6296,2214-6326,,ENERGY RES SOC SCI,Energy Res. Soc. Sci.,NOV,2016,21,,,,,,180,189,,10.1016/j.erss.2016.08.003,http://dx.doi.org/10.1016/j.erss.2016.08.003,,,10,Environmental Studies,Social Science Citation Index (SSCI),Environmental Sciences & Ecology,EC4QB,,,Y,N,2024-06-14,WOS:000388117000016,View Full Record in Web of Science,49,1,WVS (also Gallup; Eurobarometer; Pew Global; ISSP),,,
J,"Bechtel, MM; Scheve, KF",Mass support for global climate agreements depends on institutional design,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,English,Article,,,,,,international institutions; environmental cooperation; global warming; international relations; public opinion,CONJOINT-MEASUREMENT,"Effective climate mitigation requires international cooperation, and these global efforts need broad public support to be sustainable over the long run. We provide estimates of public support for different types of climate agreements in France, Germany, the United Kingdom, and the United States. Using data from a large-scale experimental survey, we explore how three key dimensions of global climate cooperation-costs and distribution, participation, and enforcement-affect individuals' willingness to support these international efforts. We find that design features have significant effects on public support. Specifically, our results indicate that support is higher for global climate agreements that involve lower costs, distribute costs according to prominent fairness principles, encompass more countries, and include a small sanction if a country fails to meet its emissions reduction targets. In contrast to well-documented baseline differences in public support for climate mitigation efforts, opinion responds similarly to changes in climate policy design in all four countries. We also find that the effects of institutional design features can bring about decisive changes in the level of public support for a global climate agreement. Moreover, the results appear consistent with the view that the sensitivity of public support to design features reflects underlying norms of reciprocity and individuals' beliefs about the potential effectiveness of specific agreements.","[Bechtel, Michael M.] Univ St Gallen, Dept Polit Sci, CH-9000 St Gallen, Switzerland; [Scheve, Kenneth F.] Stanford Univ, Dept Polit Sci, Stanford, CA 94305 USA",University of St Gallen; Stanford University,"Bechtel, MM (corresponding author), Univ St Gallen, Dept Polit Sci, CH-9000 St Gallen, Switzerland.",mbechtel.mail@gmail.com; scheve@stanford.edu,"Bechtel, Michael M./T-9309-2019","Bechtel, Michael M./0000-0002-6080-5367",Swiss Network of International Studies; Yale University's MacMillan Center for International Area Studies; Yale University's Institution for Social and Policy Studies,Swiss Network of International Studies; Yale University's MacMillan Center for International Area Studies; Yale University's Institution for Social and Policy Studies,"We thank Steve Ansolabehere, Dave Baron, Andre Bachtiger, Nikhar Gaikwad, Dominik Hangartner, Bob Keohane, Jon Krosnick, Lukas Schmid, Dustin Tingley, C. Veeramani, two anonymous reviewers, and audiences at Harvard University, the International Political Economy Society Annual Meeting, London School of Economics and Political Science, Stanford University, University of California Los Angeles, University of California at San Diego, University of St. Gallen, and University of Oxford for helpful comments. We also thank Emilia Pasquier, Fabien Cottier, and Rory Truex for valuable research assistance and the Swiss Network of International Studies, Yale University's MacMillan Center for International & Area Studies, and Yale University's Institution for Social and Policy Studies for financial support.",,29,185,201,1,43,NATL ACAD SCIENCES,WASHINGTON,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",0027-8424,,,P NATL ACAD SCI USA,Proc. Natl. Acad. Sci. U. S. A.,AUG 20,2013,110,34,,,,,13763,13768,,10.1073/pnas.1306374110,http://dx.doi.org/10.1073/pnas.1306374110,,,6,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Science & Technology - Other Topics,203DU,23886666,"Green Published, Bronze",,,2024-06-14,WOS:000323271400031,View Full Record in Web of Science,4,1,custom: https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/22128,,,
J,"Stokes, LC; Warshaw, C",Renewable energy policy design and framing influence public support in the United States,NATURE ENERGY,,,English,Article,,,,,,,CLIMATE-CHANGE; POLITICS; POLARIZATION; OPINION; TRENDS; POLLS,"The United States has often led the world in supporting renewable energy technologies at both the state and federal level. However, since 2011 several states have weakened their renewable energy policies. Public opinion will probably be crucial for determining whether states expand or contract their renewable energy policies in the future. Here we show that a majority of the public in most states supports renewable portfolio standards, which require a portion of the electricity mix to come from renewables. However, policy design and framing can strongly influence public support. Using a survey experiment, we show that effects of renewable portfolio standards bills on residential electricity costs, jobs and pollution, as well as bipartisan elite support, are all important drivers of public support. In many states, these bills' design and framing can push public opinion above or below majority support.","[Stokes, Leah C.] Univ Calif Santa Barbara, Dept Polit Sci, Santa Barbara, CA 93106 USA; [Warshaw, Christopher] MIT, Dept Polit Sci, Cambridge, MA 02139 USA",University of California System; University of California Santa Barbara; Massachusetts Institute of Technology (MIT),"Warshaw, C (corresponding author), MIT, Dept Polit Sci, Cambridge, MA 02139 USA.",cwarshaw@mit.edu,"Warshaw, Christopher/AAM-4838-2021",,MIT Energy Initiative,MIT Energy Initiative,"Funding for this research was provided by the MIT Energy Initiative. Thank you to D. Konisky and A. Berinsky, participants at UCSB PEPP, Columbia University LSS and APPAM 2014 for feedback on this research. We also appreciate logistical support from the MIT Political Experiments Research Lab (PERL).",,33,182,200,3,68,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",2058-7546,,,NAT ENERGY,Nat. Energy,AUG,2017,2,8,,,,,,,17107,10.1038/nenergy.2017.107,http://dx.doi.org/10.1038/nenergy.2017.107,,,6,"Energy & Fuels; Materials Science, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Energy & Fuels; Materials Science,FH6EA,,Green Submitted,,,2024-06-14,WOS:000411264300016,View Full Record in Web of Science,1,1,custom,,,
